State,District,Year,Season,Crop,Rainfall_mm,Temperature_C,Humidity,Sunshine_hours,GDD,Rainfall_Anomaly,Pressure_KPa,Wind_Speed_Kmh,Soil_Type,Soil_pH,Soil_Quality,OrganicCarbon,Nitrogen,Phosphorus,Potassium,Soil_Humidity,Soil_Health_Score,Irrigation_Type,Irrigation_Schedule,Sowing_Date,Fertilizer_Amount_kg_per_hectare,Seed_Variety,Pesticide_Used,Crop_Price,Yield_kg_per_hectare,Source_Dataset
,,,,,602.3862371830157,,,96.67092180524013,,,,,,,93.3047207622014,,,,,,,,3,,132.5222176089096,0,,,278.9865634507636,agricultural_yield_test
,,,,,466.51825061329794,,,99.0075558909096,,,,,,,83.67465323517892,,,,,,,,8,,57.28399706215591,1,,,836.4348404339313,agricultural_yield_test
,,,,,510.3204954871706,,,104.84427230130204,,,,,,,65.96303292087656,,,,,,,,4,,227.89547903206733,1,,,785.8817872406772,agricultural_yield_test
,,,,,354.3509138608812,,,90.1361914272678,,,,,,,78.6928343419941,,,,,,,,5,,176.31412646519567,1,,,807.8845255239556,agricultural_yield_test
,,,,,443.9937875368119,,,101.22166820906348,,,,,,,72.41568444802135,,,,,,,,10,,160.07041843888925,1,,,1064.5423739926212,agricultural_yield_test
,,,,,485.22305557024,,,99.97070954318944,,,,,,,62.697082129751294,,,,,,,,8,,268.43939230533,1,,,1003.2294104429473,agricultural_yield_test
,,,,,447.40357429028336,,,97.32805072723788,,,,,,,92.94284547818256,,,,,,,,2,,271.48875489157376,1,,,758.7169156453754,agricultural_yield_test
,,,,,690.5719976084528,,,94.75341144836284,,,,,,,75.51871560185674,,,,,,,,3,,84.04746531680979,1,,,541.1774872649454,agricultural_yield_test
,,,,,674.7335451115821,,,97.55854290021595,,,,,,,93.67381587620808,,,,,,,,4,,79.38603886631572,1,,,567.8555395407234,agricultural_yield_test
,,,,,562.6974408514623,,,98.94532756779138,,,,,,,86.60711095698508,,,,,,,,6,,76.43084086510095,1,,,765.0789540076829,agricultural_yield_test
